month,cosine_distance_baseline,intra_month_spread,n_headlines,corpus
2001-01,0.28663313465918483,0.06683327295103447,16933,baseline
2001-02,0.2684790097251182,0.06364220943001078,15365,baseline
2001-03,0.2500190974280625,0.06158560498522077,17076,baseline
2001-04,0.25364537012583144,0.06217787969970119,16145,baseline
2001-05,0.23854196472842237,0.06180232524157456,17548,baseline
2001-06,0.23012938640810698,0.06006340852600165,16590,baseline
2001-07,0.22638093155749595,0.06145229055888797,16421,baseline
2001-08,0.226602939905598,0.06007043344130986,16723,baseline
2001-09,0.27622187904373474,0.06773300581725998,16279,baseline
2001-10,0.24047011096808957,0.06320108723654635,17613,baseline
2001-11,0.23882475510553558,0.06454363288181894,16828,baseline
2001-12,0.2173491637037248,0.061661561946923474,16543,baseline
2002-01,0.2669439845521214,0.06758273937004734,16118,baseline
2002-02,0.2352128968136067,0.06309879644580862,15009,baseline
2002-03,0.26159932488035054,0.06691396906875799,16211,baseline
2002-04,0.48194768139563493,0.060874904083433774,17502,baseline
2002-05,0.2192752915944145,0.061839408623327985,16190,baseline
2002-06,0.21305990871337788,0.06001848467659567,15788,baseline
2002-07,0.21233700234322772,0.05991469536081541,15237,baseline
2002-08,0.1976370417936486,0.058237171620148555,15305,baseline
2002-09,0.20150145392543328,0.05977607173421907,15710,baseline
2002-10,0.2098162384974217,0.06077284978672445,16723,baseline
2002-11,0.19684097205971585,0.05992661631104601,15679,baseline
2002-12,0.21996306766373797,0.06284125659609383,15832,baseline
2003-01,0.2392547792395513,0.06501996853630287,15948,baseline
2003-02,0.22176368933799173,0.06183918086903453,14747,baseline
2003-03,0.21903380034034914,0.059004708938874884,16383,baseline
2003-04,0.2241095041500143,0.06012907820068162,15892,baseline
2003-05,0.19910635970669288,0.05966232554555251,15587,baseline
2003-06,0.2052219609456607,0.060500184762228806,15336,baseline
2003-07,0.21255361033224252,0.06123496920593013,15002,baseline
2003-08,0.20014294734667593,0.059329924752939266,14921,baseline
2003-09,0.2007900748924467,0.060131242348360425,14818,baseline
2003-10,0.17655399242706005,0.057317633236273736,15724,baseline
2003-11,0.20439183893858126,0.06080566490897719,14823,baseline
2003-12,0.21820685919282679,0.06239951683390345,14836,baseline
2004-01,0.25723884946833386,0.0676697656059713,14970,baseline
2004-02,0.23645872673542967,0.06402578383036435,14532,baseline
2004-03,0.24404024746023778,0.06512762688579017,15545,baseline
2004-04,0.21982808293465828,0.062015091830683794,14739,baseline
2004-05,0.21482379471441737,0.06226233079480416,14779,baseline
2004-06,0.2017323991597737,0.060309188694012625,14089,baseline
2004-07,0.18589004743802118,0.05782772454838766,13934,baseline
2004-08,0.19664221162836704,0.05944196444710222,14349,baseline
2004-09,0.20828270899357082,0.06052457096892089,14461,baseline
2004-10,0.20625467239520034,0.059218993858634474,16364,baseline
2004-11,0.20194130962449908,0.058251425824591564,14617,baseline
2004-12,0.2156574533949187,0.06090505851012904,14965,baseline
2005-01,0.25320750237909173,0.06582472623199313,16084,baseline
2005-02,0.22540554489871667,0.06286045760584366,14443,baseline
2005-03,0.2002968208142527,0.06109642575943116,15942,baseline
2005-04,0.19598948853622788,0.05885147036137582,15565,baseline
2005-05,0.19804144023397707,0.060624196039421596,15777,baseline
2005-06,0.17229733005651438,0.05756543273656172,15322,baseline
2005-07,0.1808496040292934,0.05862559091099619,15359,baseline
2005-08,0.15982019112104917,0.055688951577795576,15084,baseline
2005-09,0.18630749391643153,0.057076056177997034,15580,baseline
2005-10,0.1859106930957457,0.05943007595141352,15746,baseline
2005-11,0.19068855714497102,0.05974784939850674,15188,baseline
2005-12,0.17742523051687942,0.05842008007125935,15260,baseline
2006-01,0.1981730048261885,0.06053100804850766,15883,baseline
2006-02,0.19319848550526597,0.05913005217724984,15048,baseline
2006-03,0.16628094826149775,0.05698690712145919,17810,baseline
2006-04,0.15787719770158282,0.055760349298703174,17226,baseline
2006-05,0.12171170982449264,0.05018576597445543,19850,baseline
2006-06,0.12065253184920643,0.050729092397449625,19996,baseline
2006-07,0.15147935305847182,0.05378168032296985,19145,baseline
2006-08,0.14227406376027285,0.05228844575534419,18932,baseline
2006-09,0.12094491495627846,0.051134087655977434,19407,baseline
2006-10,0.13441953965411435,0.05233749948516517,19600,baseline
2006-11,0.12487252016791373,0.05238112486325989,19643,baseline
2006-12,0.1365652388794767,0.052371313666681844,19431,baseline
2007-01,0.19595443790166966,0.0232349879347993,13859,baseline
2007-02,0.1826907249471359,0.022588220946929444,12581,baseline
2007-03,0.17678305460599408,0.022010820312178943,14805,baseline
2007-04,0.19309815457401236,0.0219195132102501,14184,baseline
2007-05,0.19887772604603204,0.022016057464103896,14653,baseline
2007-06,0.21003653582560122,0.02151727370667481,14388,baseline
2007-07,0.1939844533022359,0.02209348838308289,14765,baseline
2007-08,0.22441947706320042,0.02182572655554513,14761,baseline
2007-09,0.21822422852552226,0.022446480927558653,15722,baseline
2007-10,0.22197468878653082,0.021815180357058418,17374,baseline
2007-11,0.21765554178455615,0.02166030174369555,16004,baseline
2007-12,0.2094272397712127,0.021724888134787804,16204,baseline
2008-01,0.22851378664127842,0.02222961273187603,17466,baseline
2008-02,0.2460365589258059,0.022509297949696343,16223,baseline
2008-03,0.23753840916471414,0.021818967095485108,17161,baseline
2008-04,0.220460612153611,0.02156104128836156,16876,baseline
2008-05,0.2433948871732009,0.02173017221342245,17757,baseline
2008-06,0.20762036736340894,0.022316084621826607,17045,baseline
2008-07,0.2296630628332521,0.022141961549051844,17329,baseline
2008-08,0.25584029741696357,0.02166013319210124,18207,baseline
2008-09,0.26375376933273886,0.022416250449162022,18290,baseline
2008-10,0.2376202058088066,0.0220429327633951,20167,baseline
2008-11,0.20570473386934696,0.02219176083324105,17787,baseline
2008-12,0.19880038397062472,0.022291933073285638,17554,baseline
2009-01,0.24437765582288207,0.02281712567725136,18326,baseline
2009-02,0.22535550448699937,0.022058700662267387,17250,baseline
2009-03,0.2119641079822473,0.022763131122747186,19153,baseline
2009-04,0.21519406550675102,0.023017075259000756,18433,baseline
2009-05,0.21009725286751046,0.022741066463547458,20563,baseline
2009-06,0.22064268787764607,0.022743765667092047,21342,baseline
2009-07,0.23438952775687028,0.02247739506963824,20646,baseline
2009-08,0.2108845326402713,0.022444163788098985,19774,baseline
2009-09,0.20859890864120245,0.023311930988860138,21703,baseline
2009-10,0.2007013384098122,0.022861630010553025,22945,baseline
2009-11,0.18881688259556295,0.022849215530837862,17704,baseline
2009-12,0.20346041504066503,0.022236530296957477,17526,baseline
2010-01,0.21209153247569645,0.022347533157784788,18426,baseline
2010-02,0.19714505244380176,0.021916792839134374,17515,baseline
2010-03,0.18151974514829805,0.022119252957295815,19027,baseline
2010-04,0.17210622362179917,0.02212244376922048,17694,baseline
2010-05,0.20104354866941165,0.02238041007630854,17871,baseline
2010-06,0.24344088045490464,0.02277830667431359,17947,baseline
2010-07,0.19794003749963696,0.02186510391070156,16945,baseline
2010-08,0.1646324707995208,0.022049266343823228,16369,baseline
2010-09,0.17479320154243116,0.022515848792323444,17089,baseline
2010-10,0.18418202421681262,0.02213686245759986,18211,baseline
2010-11,0.17766107505264728,0.022717653135371215,16888,baseline
2010-12,0.2044990087001055,0.022244793504343302,16190,baseline
2011-01,0.20706935228285905,0.022203476115216385,16920,baseline
2011-02,0.25205547331364864,0.022534254549984447,16234,baseline
2011-03,0.2270123438799203,0.021653464010873667,18183,baseline
